"Read Position"	"SRR11196520"	"SRR11196521"	"SRR11196522"	"SRR11196523"	"SRR11196524"	"SRR11196525"	"SRR11196526"	"SRR11196527"	"SRR11196528"	"SRR11196529"	"SRR11196530"	"SRR11196531"	"SRR11196532"	"SRR11196533"	"SRR11196534"	"SRR11196535"	"SRR11196536"	"SRR11196537"	"SRR11196538"	"SRR11196539"
68	37.0209	37.111	37.1282	37.0735	37.3262	37.0231	37.0519	37.2264	36.9768	36.8855	37.1334	36.9917	37.18	37.0387	37.2769	37.0015	37.118	37.2442	37.0853	37.0483
69	37.0166	37.1066	37.1288	37.0704	37.3234	37.019	37.05	37.223	36.9746	36.8815	37.1294	36.9818	37.1752	37.0347	37.2746	36.9971	37.1152	37.243	37.0809	37.0418
70	37.0093	37.1009	37.1218	37.0643	37.3178	37.0107	37.0409	37.216	36.9636	36.8732	37.1238	36.9729	37.1702	37.028	37.2693	36.9924	37.1093	37.2375	37.0767	37.0321
71	36.987	37.0771	37.0994	37.0411	37.2967	36.9883	37.018	37.1933	36.941	36.85	37.1003	36.9489	37.1478	37.0022	37.2454	36.9696	37.088	37.2166	37.0519	37.0141
72	36.9998	37.0895	37.1099	37.0536	37.3061	37.0001	37.0304	37.2055	36.9521	36.861	37.1125	36.9621	37.1577	37.0154	37.256	36.9806	37.0981	37.2274	37.0657	37.0224
73	36.9918	37.083	37.1051	37.0464	37.3032	36.9942	37.0227	37.1995	36.9457	36.8542	37.1079	36.9527	37.1539	37.0098	37.252	36.975	37.0946	37.2218	37.0592	37.0135
74	36.9852	37.0778	37.0999	37.04	37.2997	36.9905	37.017	37.1957	36.9399	36.8461	37.1034	36.9459	37.1508	37.0036	37.2486	36.9683	37.0888	37.2172	37.0538	37.0086
75	36.9683	37.0629	37.086	37.0226	37.2868	36.9742	37.0026	37.1797	36.9232	36.827	37.0895	36.9223	37.1341	36.9899	37.2366	36.9515	37.0742	37.2025	37.0395	36.9884
76	36.9571	37.0524	37.0761	37.0111	37.2768	36.9632	36.9917	37.1691	36.9105	36.8132	37.082	36.9127	37.1259	36.9795	37.2278	36.9396	37.067	37.1949	37.0317	36.9768
77	36.9388	37.0372	37.0606	36.996	37.2642	36.9467	36.9755	37.1554	36.8925	36.795	37.0694	36.8984	37.1117	36.965	37.2148	36.9239	37.0524	37.18	37.0153	36.962
78	36.9344	37.0333	37.0564	36.9934	37.2609	36.9418	36.9733	37.1519	36.8874	36.7891	37.065	36.8866	37.1056	36.9608	37.211	36.9196	37.0476	37.1785	37.0123	36.9523
79	36.9371	37.0351	37.0579	36.9954	37.2635	36.9444	36.9746	37.1529	36.8911	36.7911	37.0683	36.8887	37.1091	36.962	37.2144	36.9213	37.0497	37.1797	37.0135	36.9491
80	36.9236	37.0226	37.0476	36.9823	37.2529	36.9325	36.9606	37.1402	36.8763	36.7772	37.0573	36.8755	37.0961	36.951	37.2026	36.9078	37.0397	37.1676	37.0025	36.9362
81	36.8968	37.0002	37.0221	36.9608	37.2319	36.908	36.9358	37.1172	36.8512	36.7475	37.0339	36.8443	37.0719	36.9265	37.1838	36.8823	37.0154	37.1455	36.9818	36.9102
82	36.8857	36.9872	37.0143	36.9484	37.2238	36.8965	36.9266	37.1082	36.8381	36.7352	37.0255	36.8316	37.0633	36.9158	37.1735	36.8734	37.0065	37.1376	36.9717	36.8927
83	36.8791	36.981	37.008	36.9417	37.2171	36.8889	36.9191	37.1024	36.8321	36.7288	37.0192	36.8275	37.0576	36.9103	37.1678	36.8656	37.0011	37.1328	36.966	36.896
84	36.8749	36.9797	37.0022	36.9388	37.216	36.885	36.915	37.0999	36.8288	36.7242	37.0162	36.824	37.0549	36.9071	37.1648	36.8608	36.9978	37.1302	36.9629	36.8912
85	36.8814	36.9843	37.0079	36.943	37.221	36.8904	36.9205	37.1058	36.834	36.7316	37.0208	36.8289	37.0625	36.9106	37.1691	36.8662	37.0022	37.1337	36.9685	36.8947
86	36.8696	36.974	36.9997	36.933	37.2131	36.8803	36.9112	37.0956	36.8223	36.7184	37.0119	36.8193	37.0533	36.901	37.162	36.8551	36.9928	37.1239	36.9592	36.8793
87	36.8497	36.9551	36.9812	36.9161	37.1966	36.8638	36.8934	37.0795	36.8033	36.6967	36.994	36.7947	37.035	36.8828	37.146	36.8368	36.9761	37.1082	36.9434	36.8583
